"id","name","institution","all_link"
"221073","常秀英","交叉信息研究院","http://iiis.tsinghua.edu.cn/zh/xychang/"
"221074","何丽","交叉信息研究院","http://iiis.tsinghua.edu.cn/zh/lihe/"
"221075","宋祎璞","交叉信息研究院","http://iiis.tsinghua.edu.cn/zh/songyp/"
"221076","尹璋琦","交叉信息研究院","http://iiis.tsinghua.edu.cn/zh/yinzhangqi/"
"221077","张静宁","交叉信息研究院","http://iiis.tsinghua.edu.cn/zh/jnzhang/"
"221078","张宏毅","交叉信息研究院","http://iiis.tsinghua.edu.cn/zh/zhanghy/"
"221079","周子超","交叉信息研究院","http://iiis.tsinghua.edu.cn/zh/zhouzc/"
"221080","雍稳安","周培源应用数学研究中心","http://www.tsinghua.edu.cn/publish/zhpy/1706/2010/20101201203440284446828/20101201203440284446828_.html"
"221081","雷锦誌","周培源应用数学研究中心","http://166.111.93.130/~jzlei/"
"221082","朱毅","周培源应用数学研究中心","http://www.tsinghua.edu.cn/publish/zhpy/1706/2012/20120904134427645830975/20120904134427645830975_.html"
"221083","洪柳","周培源应用数学研究中心","http://www.tsinghua.edu.cn/publish/zhpy/1706/2010/20101226195715545730773/20101226195715545730773_.html"
"221084","姚期智","交叉信息研究院","http://iiis.tsinghua.edu.cn/zh/yao/"
"221085","崔学峰","交叉信息研究院","http://iiis.tsinghua.edu.cn/~xfcui/"
"221086","邓东灵","交叉信息研究院","http://iiis.tsinghua.edu.cn/zh/dengdl/"
"221087","段然","交叉信息研究院","http://iiis.tsinghua.edu.cn/zh/duanr/"
"221088","黄隆波","交叉信息研究院","http://iiis.tsinghua.edu.cn/~huang"
"221089","金奇奂","交叉信息研究院","http://iiis.tsinghua.edu.cn/zh/kihwan/"
"221090","李建","交叉信息研究院","http://iiis.tsinghua.edu.cn/~jianli/"
"221091","马雄峰","交叉信息研究院","http://iiis.tsinghua.edu.cn/zh/maxiongfeng/"
"221092","孙麓岩","交叉信息研究院","http://iiis.tsinghua.edu.cn/zh/sunluyan/"
"221093","唐平中","交叉信息研究院","http://iiis.tsinghua.edu.cn/~kenshin/"
"221095","魏朝晖","交叉信息研究院","http://iiis.tsinghua.edu.cn/zh/weizh/"
"221096","吴辰晔","交叉信息研究院","http://iiis.tsinghua.edu.cn/~wu"
"221097","吴文斐","交叉信息研究院","http://wenfei-wu.github.io"
"221098","徐葳","交叉信息研究院","http://iiis.tsinghua.edu.cn/~weixu"
"221099","徐勇","交叉信息研究院","http://iiis.tsinghua.edu.cn/zh/xuy/"
"221100","于洋","交叉信息研究院","http://iiis.tsinghua.edu.cn/zh/yuy/"
"221101","曾坚阳","交叉信息研究院","http://iiis.tsinghua.edu.cn/zh/zengjy/"
"221102","张崇洁","交叉信息研究院","http://iiis.tsinghua.edu.cn/~zhang"
"221103","马恺声","交叉信息研究院","https://psucse.wixsite.com/archiplab"
"221104","袁洋","交叉信息研究院","http://iiis.tsinghua.edu.cn/zh/yuanyang/"
"221105","高鸣宇","交叉信息研究院","http://iiis.tsinghua.edu.cn/zh/mingyugao/"
"221106","罗忠敬","燃烧能源中心","http://www.cce.tsinghua.edu.cn/show.php?catid=14&id=53"
"221108","帅石金","燃烧能源中心","http://www.cce.tsinghua.edu.cn/show.php?catid=14&id=36"
"221109","郑丽丽","燃烧能源中心","http://www.cce.tsinghua.edu.cn/show.php?catid=14&id=35"
"221112","刘有晟","燃烧能源中心","http://www.cce.tsinghua.edu.cn/show.php?catid=14&id=31"
"221114","任祝寅","燃烧能源中心","http://www.cce.tsinghua.edu.cn/show.php?catid=14&id=29"
"221117","徐海涛","燃烧能源中心","http://www.cce.tsinghua.edu.cn/show.php?catid=14&id=26"
"221118","许雪飞","燃烧能源中心","http://www.cce.tsinghua.edu.cn/show.php?catid=14&id=25"
"221119","杨斌","燃烧能源中心","http://www.cce.tsinghua.edu.cn/show.php?catid=14&id=24"
"221120","游小清","燃烧能源中心","http://www.cce.tsinghua.edu.cn/show.php?catid=14&id=23"
"221121","于溯源","燃烧能源中心","http://www.cce.tsinghua.edu.cn/show.php?catid=14&id=22"
"221123","姚强","燃烧能源中心","http://www.cce.tsinghua.edu.cn/show.php?catid=14&id=37"
"221124","石溪","燃烧能源中心","http://www.cce.tsinghua.edu.cn/show.php?catid=14&id=35"
"221125","罗开红","燃烧能源中心","http://www.cce.tsinghua.edu.cn/show.php?catid=14&id=32"
"221128","桑迪亚","燃烧能源中心","http://www.cce.tsinghua.edu.cn/show.php?catid=14&id=24"
"221232","顾秉林","高等研究院","http://www.castu.tsinghua.edu.cn/publish/cas/1696/2012/20120406111427772597752/20120406111427772597752_.html"
"221233","翁征宇","高等研究院","http://www.castu.tsinghua.edu.cn/publish/cas/1696/2010/20101217100113537818471/20101217100113537818471_.html"
"221234","姚宏","高等研究院","http://www.castu.tsinghua.edu.cn/publish/cas/1696/2012/20120508130553578896621/20120508130553578896621_.html"
"221235","刘峥","高等研究院","http://www.castu.tsinghua.edu.cn/publish/cas/1696/2015/20150408134153504432823/20150408134153504432823_.html"
"221236","汪忠","高等研究院","http://www.castu.tsinghua.edu.cn/publish/cas/1696/2011/20110111100406490213576/20110111100406490213576_.html"
"221244","翟荟","高等研究院","http://www.castu.tsinghua.edu.cn/publish/cas/1696/2010/20101215163212644767702/20101215163212644767702_.html"
"221245","缪立新","深圳研究院（物流与交通学部）","http://www.sz.tsinghua.edu.cn/publish/sz/140/2010/20101218145147899698511/20101218145147899698511_.html"
"221246","高本河","深圳研究院（物流与交通学部）","http://www.sz.tsinghua.edu.cn/publish/sz/140/2010/20101218150406768768175/20101218150406768768175_.html"
"221247","李志恒","深圳研究院（物流与交通学部）","http://www.sz.tsinghua.edu.cn/publish/sz/140/2015/20150410153423205928723/20150410153423205928723_.html"
"221248","戚铭尧","深圳研究院（物流与交通学部）","http://www.sz.tsinghua.edu.cn/publish/sz/140/2010/20101218150823876520822/20101218150823876520822_.html"
"221249","张灿荣","深圳研究院（物流与交通学部）","http://www.sz.tsinghua.edu.cn/publish/sz/140/2010/20101218151917354854727/20101218151917354854727_.html"
"221250","张凯","深圳研究院（物流与交通学部）","http://www.sz.tsinghua.edu.cn/publish/sz/140/2016/20160506112304014820874/20160506112304014820874_.html"
"221251","杨朋","深圳研究院（物流与交通学部）","http://www.sz.tsinghua.edu.cn/publish/sz/140/2014/20140514110547919143947/20140514110547919143947_.html"
"221252","冯平法","深圳研究院（先进制造学部）","http://www.sz.tsinghua.edu.cn/publish/sz/141/2016/20160429165736476356853/20160429165736476356853_.html"
"221253","王晓浩","深圳研究院（先进制造学部）","http://www.sz.tsinghua.edu.cn/publish/sz/141/2011/20110418113539375317424/20110418113539375317424_.html"
"221254","程雪岷","深圳研究院（先进制造学部）","http://www.sz.tsinghua.edu.cn/publish/sz/141/2010/20101218153136472457904/20101218153136472457904_.html"
"221255","董瑛","深圳研究院（先进制造学部）","http://www.sz.tsinghua.edu.cn/publish/sz/141/2014/20140514115141190755272/20140514115141190755272_.html"
