mentor,co_author,num1,db_teahcer,num2
王大中,"徐元辉,林家桂,张谨奕,薄涵亮,董铎,刘惠琴,胡久大,张达芳,杨巾农,贺美英,王飞,佟允宪,庄谨,王大中,姜胜耀,张佑杰,吴少融,博金海,钟大辛,蒋志强,郑文祥,孙玉良,叶遂生,高祖瑛,张作义,姚梅生,吴宗鑫,吴元强,刘继国,陈皓明,秦本科,马昌文",32,"刘惠琴,王飞,王大中",3
王小云,"徐晴雯,王小云,刘梅,王燕卿,廖彬超",5,"王小云,廖彬超",2
王光谦,"方红卫,钟德钰,贺莉,刘荣华,周沙,石伟,陈稚聪,冉启华,李铁建,韩雁,邓利,赵建世,唐爽,杨本均,陈祖华,詹秀玲,丁赟,左海凤,王费新,孙金辉,郭海丹,阎满存,刘家宏,张成,陈志祥,傅旭东,王皓,唐文哲,何国建,李海红,王开,刘帆,闫满存,王兴奎,张修忠,王士强,董曾南,孙其诚,翁燕章,强茂山,邵学军,韩文亮,王忠静,王丽珍,周建军,邵颂东,高洁,和杨,胡德超,马宏博,王光谦,刘学,郭碧云,金峰,魏加华,韩军,陈前海,张国生,张仁,费祥俊,翁文斌,陈良程,张楚汉,李铁键,刘绿波,田坤,王兆印,黄跃飞,张长春,张红武,吴保生,刘金梅",72,"金峰,孙其诚,钟德钰,方红卫,强茂山,张仁,石伟,邵学军,王忠静,唐文哲,周建军,傅旭东,张楚汉,李铁键,赵建世,王兆印,黄跃飞,张红武,吴保生,王光谦",20
王志新,"辛凤姣,梅子青,但琼洁,王珏,王志新,任鋆,邹宗平,解树涛,李成林,陈雷,何宜生,刘奕彤,王杰,牛小力,曹露莎,张媛媛,刘欣,孙之荣,亓平言,周海梦,赵帆,吴振国,吴惊香,李盛杰,吴嘉炜",25,"王志新,吴嘉炜,陈雷",3
王补宣,"胡海滔,叶大均,刘冬,袁浩江,段远源,彭晓峰,郭亮,李泽梁,饶燕飞,邓小雪,胡雪蛟,包素锦,胡柏耿,焦芝林,徐鹏,郑可可,傅国光,杜建华,安刚,罗棣庵,张文喜,李成,王仁,朱明善,刘荣,雷树业,李天铎,李宏,李清海,闻劭意,卞卫,石德惠,文东升,林旭平,赵俊杰,马骥,李俊明,吴占松,姜培学,柯道友,吴伟,张会勇,许路,黄梅,杨继东,陆规,杜小泽,陈骁,任泽霈,田勇,王昊,李春辉,张增刚,王补宣,林唯耕,胡杭英,肖云汉,颜岩,韩礼钟,潘钦,刘志坚,刘志宏,徐罕,杨阳,李海明,王维城,张立宁,张能力,杨震,李丽,盛文彦,张金涛,王峥,张衍国,张志军,林兆庄,戴闻亭",77,"王补宣,李俊明,姜培学,段远源,李成,柯道友,杨震,张衍国,张志军,李清海",10
王崇愚,"周正,于潇翔,王山鹰,葛麟,王崇愚,郑立宝,周俊哲,刘争光",8,"王山鹰,王崇愚",2
卢强,"康重庆,马进,王俊杰,刘锋,沈瑜,张雪敏,陈菊明,陈雪青,赵志勇,孙郁松,韩英铎,黎雄,孙春晓,陈颖,关天祺,沈沉,郑少明,蒋晓华,胡伟,吴佳耘,江健健,王仲鸿,桂小阳,孙元章,倪向萍,何光宇,乔颖,高景德,夏清,梅生伟,赵争鸣,陈来军,王克稳,陈昆仑,刘建政,王志芳,谢邦鹏,董新洲,祁达才,刘戈平,袁立强,李树荣,卢强",43,"韩英铎,卢强",2
丘成桐,丘成桐,1,丘成桐,1
邝宇平,"何红建,邝宇平",2,邝宇平,1
过增元,"肖鹏,郭靖原,吴宏,庄文红,王海东,洪泽恺,魏澍,朱宏晔,胡帼杰,杨立军,李志信,周森泉,董源,庞江涛,刘理天,李震,严环,陈群,徐宁,苏欣,曲伟林,陈林,杜东兴,罗小兵,李纪珍,陈民,曹炳阳,王金照,夏再忠,罗晓迎,王崧,谭立彦,吴群刚,吴贵生,任建勋,冯晓利,程新广,杨弘,尹执中,张信荣,黄建华,姬朝玥,侯泉文,周维强,陈泽敬,梁新刚,孟继安,李晓伟,宋耀祖,程雪涛,刘云龙,祁建伟,张红梅,吴鹰,过增元,赵国昌,谢伟,布卫红,马维刚,杨春,柳雄斌,桂业伟,郭英奎,万凯,熊大曦,李德玉,徐云生,胡桅林,邬小波,徐向华,张清光,王遵敬,李娜",73,"马维刚,杨春,陈泽敬,梁新刚,陈民,孟继安,曹炳阳,李震,刘理天,李志信,陈群,徐向华,任建勋,过增元",14
成会明,,0,,0
朱邦芬,"杨福家,朱邦芬,吕嵘,陈佐子,蔡纬,刘仁保,王青,卢海舟,李仲明,王靖",10,"吕嵘,王青,朱邦芬",3
朱静,"崔孟龙,方芳,袁俊,眭喆,张友生,罗俊,孟卫东,周惠华,蔡明春,高尚鹏,闫星旭,马超,马远乐,顾家琳,钟虓龑,闫允杰,黄鸣,吕宁,陈晓明,陈福荣,杨桦,朱静,潘涛",23,"钟虓龑,朱静",2
李亚栋,"吴宇恩,寇会忠,龚鸣,彭卿,寇鹏,李亚栋,张玥,周海成,李惟嘉,崔爱莉,王阳刚,梁家和,孙晓明,庄京,周和平,周北川,匡汉茂,杨瑞,王训,孟令镕,金招芬,樊钦平,武增华,陆君,谢厅,张寅平,李宇鹏,何奕,刘向文,牛志强,王定胜,邓兆祥,李春辉,蔡双飞,李福利,王海英,陈兴,董亚杰,娄天军,邱文丰,陈森林",41,"寇会忠,崔爱莉,李亚栋,王训,王定胜",5
李衍达,"袁远,毛志宏,孙应飞,朱江,林盛,周晋,周晴,闻芳,汪小我,冯太林,顾启泰,常回,樊晓丹,王哲,吴杰,张静,周杰,李崇荣,陈慧蓉,陆文凯,吴君明,蔡弘,卢春雨,张海云,罗晖,张贤达,潘东,路海明,冯振明,张长水,董立军,常迥,戴琼海,汤跃忠,卢增祥,刘智新,陈定国,张良杰,王普,卢旭光,夏慧煜,庄永龙,车文刚,马革新,罗发龙,王真理,范京,蔡登,李楠,肖创柏,姚欣,吴忠泽,季星来,陈弘原,冯仿,张雪枫,武宏伟,马云潜,陈慧容,阎辉,黄力菲,孙国富,卢欣,刘宇新,黄颖,曹敏,计宏凯,李梢,胡驰峰,张大力,刘达,李鲲鹏,陈惠民,叶龙,李衍达,邹红星,梁应敞,孙之荣,刘业新,张立勇,常迵,常,税正全,许建华,王殿军,张学工",86,"戴琼海,李梢,李衍达,李楠,卢旭光,王哲,张静,张长水,李崇荣,张学工,汪小我",11
李家明,,0,,0
李惕碚,李惕碚,1,李惕碚,1
李蓬,"李克强,王志浩,姚慧斓,李蓬,罗禹贡,金达锋,齐敬总,赵杰,李志方",9,"李克强,金达锋,李蓬,罗禹贡",4
杨卫,"陈明祥,虞洪辉,施松华,王宏涛,吕荣侠,李振海,刘小明,李晓雁,杨卫,黄建明,张维,杨帆,李晶,余寿文,张宿林,方菲,杜庆华,傅强,马新玲,阎勇,卿海,陆明万,方岱宁,戴福隆,章湘明,孟凡颢,黄春梅,郑泉水,朱廷,翟萌萌,王虎妹,孙以实,单思聪,冯西桥,邢永明,黄克智,范华林,傅增力,郭田福,李腾,殷露中,李俊峰,章光华,王惠军,王斌,卫欣,洪伟,孙庆平,高蕴昕,庄茁",50,"郑泉水,李俊峰,吕荣侠,王斌,孙以实,李晓雁,洪伟,冯西桥,方菲,杨卫,黄克智,庄茁,杨帆",13
杨振宁,"汪忠,李荫远,杨振宁",3,"汪忠,杨振宁",2
吴良镛,"徐莹光,朱文一,王南,栗德祥,张悦,张杰,刘健,吴良镛,单军,边兰春,吴唯佳,庄惟敏,毛其智,尹稚,武廷海",15,吴良镛,1
邱勇,"庞洪涛,邵彦青,刘亚兰,赵炎,李琛,朱五星,姜秀光,施汉昌,马蓓蓓,曹立礼,侯艳玲,吴媛媛,静贺,唐应武,雷钢铁,李扬,常春,李璟,常杪,宋伟杰,段炼,乔娟,陈青,丁河舟,谢俊峰,胡庆渝,邵炎,刘垚,何苗,赵福群,黄根茂,孙海涛,李若华,李冰,宋心琦,孙永铎,王小燕,曾思育,胡晓明,柯细勇,徐丽婕,刘艳臣,张锐,谢俊锋,邱勇,高瑞,陶然,张复实,张东东,王立铎,张菁,牛广达,陈杰,高裕弟,胡远川,李斌,陈立,沈童刚,郭晓春,李杨,陈亮,刘宇宏,杨勇,魏鹏,杨新宇,曾雄辉,郭媛媛,熊天煜,董桂芳,万博全,高鸿锦,赵谊华,王志强,李浩源,吴国是,康博南,张德强,王威,周小红,董润安,侯留东,王佳伟",82,"刘宇宏,曾思育,李杨,何苗,董桂芳,刘艳臣,赵福群,邱勇,张德强,周小红,王立铎,常杪,王佳伟",13
张希,"刘赞,马宁,谭欣欣,姚振汉,石味青,刘志华,刘传军,徐俊,杨辉,刘晓光,万鹏博,宋波,许华平,张义恒,张希,陈森林,李思超,张宏宇,蒋玉贵,祁光霞,张思梦,邢义波,刘冬生,任慧峰,王广通,韩朋,张佳玮,杨柳林,王亚培,王治强,王朝,高见,李磊,牛嘉,王邦达,吴光鹭,刘一流,于莹",38,"刘冬生,许华平,王朝,王治强,张希",5
张首晟,,0,,0
张钹,"张朝晖,李强,黄必清,何克忠,吴鸣锐,谭刚,陈正,周云晖,徐光佑,张淮,陈陈,陶品,林福宗,张怡颖,宋雪峰,陈玉宇,于达,杨明,袁曾任,马少平,陶西平,叶榛,梁路宏,王勋先,周远清,谌卫军,韩玫,袁进辉,陆建业,孙增圻,郭木河,佟子健,鲁涛,郑武杰,孙富春,柳常青,贺思敏,王田苗,陆玉昌,张钹,贾培发,杨磊,张再兴,艾海舟,孙红岩,刘文举,夏莹,朱小燕,董斌,李永成",50,"马少平,李强,黄必清,张钹,张再兴,艾海舟,陶品,朱小燕,孙富春",9
张楚汉,"江汇,黄云,鲁军,张光斗,崔玉柱,王少敏,宋世雄,尹显俊,冯令民,施明光,李未显,李庆斌,吴健,迟福东,周元德,马吉明,刘建国,寇立夯,王光纶,沈怀至,阎俊义,王恩志,王津龙,侯艳丽,潘坚文,阎承大,徐艳杰,汪强,陈昌伟,甘孝清,王刚,孙其诚,宋崇民,费明龙,王进廷,廖邦政,彭冈,李鹏辉,贺春晖,武明鑫,金峰,王品江,刘新佳,郭长青,刘天云,蔡小莹,王保国,张楚汉,熊祥斌,张伟,金锋,安雪晖",52,"金峰,孙其诚,周元德,刘建国,马吉明,刘天云,王进廷,王保国,王恩志,张楚汉,潘坚文,徐艳杰,张伟,安雪晖,李庆斌",15
陆建华,"王章磊,朱亮,陈翔,赖卫东,刘庚峰,吴胜,陈智君,肖潇,姚彦,张宇,郑君里,龙毅,晏坚,黄振,张昱,陈曦,李琪,于烨,李湘滨,李楚翔,汤恒胜,贾亦真,程晓军,刘涛,申莉华,邱见明,衡量,吴佑寿,王京,顾娜,曲欣茹,宋亚东,张建良,余晓华,詹亚锋,苏英俊,刘凯,张超,葛启宏,杜冰,王翾,匡麟玲,裴玉奎,金燕,张盛,王沈泽,倪祖耀,王明曙,袁兵兵,叶艳珠,王萌,陶晓明,肖振宇,曹志刚,张丹华,殷柳国,熊剑平,尤政,张丽,黎海涛,刘伟华,刘润生,朱纯益,朱宏杰,王剑锋,邓卉,余成伟,陈伟胜,肖立民,宋晓光,张凯斌,陈实,谢廷俊,苏光大,田旭生,姚飞,王芳,陆洋,傅建勋,高勇,韩丰,周祖成,谌德荣,邢腾飞,陆建华,吴建强,陈雄飞,葛宁,梅顺良,许希斌,陈为刚,王有政,高晓琳,谢旭东,黄晓,姜显扬,林孝康,宋柏延",98,"张丽,张盛,张超,陆建华,陈曦,尤政,葛宁,陶晓明",8
陈难先,陈难先,1,陈难先,1
陈晔光,"章隽宇,亓振,许华曦,张丽霞,苏祖琦,陈峰,徐玄昊,陈晔光,俞立,高霞,张素平,严晓华,张秀芳,张然,李叶华",15,"俞立,陈晔光,陈峰",3
欧阳明高,"张华,田光宇,童毅,张京永,连长震,杜仲,刘宏,王晓光,洪木南,闫凤军,何桦,李相俊,王熙,石英乔,才艺欣,张人千,朱春雨,张剑波,杨学清,龚庆杰,曹桂军,冯旭宁,周明,杨福源,帅志斌,韩雪冰,高国景,孙鸿,龚振青,叶强,何涛,白露,黄海燕,杨学青,刘光明,杨雨平,吴骞,谷靖,周洁敏,奉玮,田硕,方铁刚,郝守纲,王超,徐梁飞,王树博,夏胜枝,鹿笑冬,李进,欧阳明高,卢青春,方成,张奇,张科勋,刘峥,张俊智,吴俊涛,华剑锋,陈超,韩强,张抗抗,郝瀚,胡明寅,陈林,安利强,王贺武,张可,刘蒙,何向明,冯宗磊,卢启龙,李希浩,陈全世,卢兰光,朱妮,夏文川,裴普成,程夕明,何彬,仝猛,邵静玥,卢东斌,周杰敏,李哲,程驰,王瑛,熊华胜,金贝,李建秋,郝守刚,王宏桥,林镇宏,李中,任亮,谢志刚,余勇,金振华,王诚,王延岭,梁金华,包成,刘原,刘明基,高大威",104,"徐梁飞,张俊智,王贺武,田光宇,韩雪冰,陈超,李建秋,金振华,裴普成,张剑波,欧阳明高,郝瀚,李哲,周明,杨福源,高大威,刘峥",17
范守善,"张跃钢,刘亮,陈浩明,胡平,凌涛,李群庆,陈培毅,高乃飞,顾秉林,陈墨,薛其坤,施常青,邬鸿彦,范守善,姜开利,隋森芳",16,"张跃钢,姜开利,李群庆,顾秉林,薛其坤,范守善,胡平,隋森芳",8
周炳琨,"奉飞飞,黄翊东,娄采云,华楠,吴群,蔡林,陈智浩,陈健,王青,姚敏玉,李俊杰,李春茂,郑浩成,段玉生,蔡金星,钟立晨,金韬,刘凤海,谢世钟,闫娟娟,黄哲林,徐承材,韦朝炅,张戟,董启明,倪文达,岳超瑜,谢涌,董毅,刘薇薇,马晓红,陈雯路,刘汪洋,潘仲琦,沈德忠,徐志根,陈明华,李艳和,张志坚,李德杰,杨春,陈宏伟,张沁磬,许知止,周炳琨,姚劲,刘小明,陈家骅,杨晓辉,高以智,王华,吴红兵,范崇澄,吴克瑛,郭奕理,闻和,王新宏,高志国,柴燕杰,查开德,郑小平,黄冬梅,焦悦光,张克潜,王江林,顾东华,吴庚生,张汉一,霍玉晶,吴源相,王晖,杨今强,李佟,周祖成,吴之林,厉群,周仪清,闫成至,王燕,张巍,蒋俏峰,钟山,陈新,罗毅,彭江得,廖延彪,王大鹏,张洪明",88,"王燕,张巍,杨春,陈新,罗毅,陈宏伟,黄翊东,马晓红,陈明华,华楠,郑小平,陈健,周炳琨,王青,张洪明",15
孟安明,"齐晶晶,胥鹏飞,李明,曹莹,苏颖,孟安明,孙智慧,陈晔光,田甜,贾顺姬,赵呈天,赵珏,金鹏",13,"孟安明,陈晔光,李明,贾顺姬",4
段文晖,"吴健,常昊,王建峰,史武军,司晨,杨莉,刘志荣,黄宁东,汤沛哲,陈鹏程,倪军,刘军伟,陈曦,李元昌,王世范,段文晖,陈晓彬,吴忠庆",18,"段文晖,陈曦,倪军",3
赵玉芬,"殷巍,韩波,牛艳玲,冯亚兵,张南京,留筱厦,吴为辉,李研,王芹珠,苗志伟,麻远,成昌梅,刘倩,刘鹏,赵文超,杜进堂,严竞竞,吴耀文,杜伟,刘海,赵刚,王宁,毛应群,陈益,张祯,曹胜利,施小新,陈水冰,马强,金鹏,尹应武,安逢龙,刘峰,陈忠周,谭波,陈晶,乔仁忠,李人望,王倩,黄志平,蒋宇扬,孙麒,马庆丰,李武,魏玮,冯玉萍,于文胜,钟尚宾,郑一哲,罗施中,付川,刘伟,赵玉芬,陈永湘,朱长进,李艳梅,薛楚标,杨杰,张琼,郭燕婷,李永芳,万荣",62,"刘峰,杜伟,刘伟,赵玉芬,陈永湘,蒋宇扬,李艳梅,成昌梅,刘鹏",9
南策文,"郑泉水,郭双桃,南策文,邓斐,刘俊明,宋宇",6,"郑泉水,南策文",2
柳百新,"马春来,王文超,兰爱东,陈益钢,崔苑苑,丁菊仁,李正操,柳百新,张晶星,范毓殿,蓝爱冬,李文治,刘剑波,苗伟,马恩,张青,沈毅雄,李彬,黄立基,冯嘉猷,夏维,白雪,潘峰,姜浩,龚浩然,陶琨,卢红波,和志刚,李兆峰,赖文生,朱德华,邰凯平,严华锋,李家好,孔令体,白新德",36,"李彬,赖文生,刘剑波,潘峰,苗伟,李正操,柳百新",7
饶子和,"周卫红,饶子和,王刚刚,杨海涛",4,饶子和,1
施一公,"施一公,王丰,云帆,黄永鉴,饶毅,田姬熔,陈晔光,程玺,孙兵法,胡雨寒,杭婧,王翊",12,"施一公,陈晔光",2
